Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_017,0.84003,0.88276,0.77052,0.94088,0.96463,0.88194,0.99976,0.99748,0.99933,1.41421,4.12311,13.19091
BraTS20_Training_018,0.61958,0.74979,0.48691,0.87729,0.89476,0.8998,0.99982,0.9975,0.99959,25.77204,5.09902,27.74887
BraTS20_Training_019,0.76962,0.86313,0.83347,0.94946,0.88753,0.94462,0.99943,0.99917,0.99926,2.0,4.12311,7.34847
BraTS20_Training_020,0.72914,0.89826,0.87878,0.71492,0.8795,0.81418,0.99924,0.99842,0.99948,2.23607,4.69042,5.47723
BraTS20_Training_021,0.56876,0.73369,0.75799,0.76024,0.68617,0.75692,0.99969,0.99924,0.99985,3.31662,10.63015,51.35173
BraTS20_Training_022,0.87111,0.91008,0.84927,0.94155,0.97813,0.96008,0.99955,0.99868,0.99896,1.41421,6.0,7.14143
BraTS20_Training_023,0.7879,0.84159,0.90086,0.74536,0.75418,0.83088,0.99982,0.99982,0.99997,2.0,3.74166,3.0
BraTS20_Training_024,0.90573,0.86533,0.86411,0.89094,0.9625,0.89168,0.9998,0.99716,0.99945,1.41421,3.16228,9.43398
BraTS20_Training_025,0.88835,0.89825,0.95851,0.95732,0.96517,0.98578,0.99961,0.99848,0.9997,1.0,10.0,1.41421
BraTS20_Training_026,0.77164,0.92341,0.79164,0.77961,0.96976,0.90376,0.99936,0.9973,0.99851,3.0,3.31662,14.03567
BraTS20_Training_027,0.84065,0.71796,0.82112,0.7935,0.9829,0.90737,0.99982,0.99432,0.99914,1.41421,10.04988,9.0
BraTS20_Training_028,0.65164,0.85226,0.84234,0.59045,0.85445,0.83749,0.99977,0.99965,0.99975,2.23607,3.60555,3.0
BraTS20_Training_029,0.89853,0.88424,0.92219,0.90791,0.97124,0.94333,0.99993,0.99841,0.99992,1.0,2.82843,21.00595
BraTS20_Training_030,0.78919,0.81484,0.60786,0.84567,0.79966,0.78536,0.9998,0.99815,0.99929,4.12311,5.09902,36.48287
BraTS20_Training_031,0.88211,0.87034,0.86999,0.91266,0.90533,0.93734,0.99961,0.99826,0.9993,1.41421,13.19091,53.90733
BraTS20_Training_032,0.74433,0.85663,0.84886,0.71923,0.83864,0.80092,0.99977,0.99965,0.99983,2.23607,3.31662,3.74166
BraTS20_Training_033,0.91355,0.93355,0.93544,0.9584,0.97433,0.9231,0.99975,0.99842,0.99986,1.0,2.0,5.09902
BraTS20_Training_034,0.85678,0.90523,0.91815,0.85219,0.98125,0.94958,0.99962,0.99806,0.9994,1.41421,14.86607,4.12311
BraTS20_Training_035,0.79638,0.82991,0.80094,0.91633,0.8391,0.83862,0.99895,0.99837,0.99861,1.41421,8.83176,13.34166
BraTS20_Training_036,0.85488,0.82718,0.87497,0.85463,0.86885,0.88767,0.99992,0.99961,0.99991,1.73205,4.12311,2.23607
BraTS20_Training_037,0.86038,0.92613,0.6366,0.87483,0.88706,0.93683,0.99973,0.99938,0.99718,1.0,3.0,25.46861
BraTS20_Training_038,0.82972,0.9127,0.89003,0.80708,0.9344,0.86159,0.99959,0.99871,0.99969,1.73205,3.0,2.44949
BraTS20_Training_039,0.85456,0.8618,0.76912,0.90363,0.98149,0.93627,0.9997,0.99827,0.99894,2.0,4.12311,9.48683
BraTS20_Training_040,0.877,0.92341,0.85738,0.84392,0.90625,0.9197,0.99974,0.99889,0.99877,1.41421,2.23607,16.43168
BraTS20_Training_041,0.78032,0.92161,0.90596,0.87234,0.97269,0.90439,0.99938,0.99841,0.99964,2.23607,2.23607,4.12311
BraTS20_Training_042,0.8674,0.92269,0.953,0.85556,0.97328,0.94004,0.99972,0.99883,0.99985,1.41421,4.0,1.41421
BraTS20_Training_043,0.59323,0.76814,0.61093,0.56136,0.66189,0.81028,0.9999,0.99974,0.99927,2.82843,5.74456,12.84523
BraTS20_Training_044,0.69761,0.6224,0.6475,0.74504,0.50611,0.65821,0.99994,0.99974,0.99992,4.57705,11.44552,58.6873
BraTS20_Training_045,0.8913,0.928,0.94861,0.96113,0.96589,0.98046,0.99912,0.99873,0.99945,1.41421,2.23607,2.0
BraTS20_Training_046,0.34191,0.23136,0.33236,0.22034,0.13153,0.22368,0.99999,0.99998,0.99998,12.20656,21.23676,10.13136
