Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_365,0.94197,0.93622,0.97651,0.95811,0.98488,0.9846,0.99973,0.998,0.99977,1.0,60.64446,1.41421
BraTS20_Training_366,0.89215,0.92477,0.91724,0.84747,0.96827,0.87521,0.99988,0.99934,0.99991,2.0,2.23607,2.23607
BraTS20_Training_367,0.94948,0.96009,0.95854,0.9381,0.97272,0.95783,0.99992,0.99923,0.9999,1.0,1.41421,1.41421
BraTS20_Training_368,0.9519,0.95264,0.94875,0.93799,0.9656,0.95447,0.99994,0.99942,0.99988,1.0,1.41421,1.41421
BraTS20_Training_369,0.95376,0.96383,0.97078,0.93216,0.96622,0.9737,0.99989,0.999,0.99977,1.0,1.41421,1.0
Mean,0.81793,0.91904,0.86358,0.86307,0.92514,0.84961,0.99973,0.99925,0.99983,23.49635,5.10187,4.29509
StdDev,0.23004,0.05521,0.19895,0.2333,0.07512,0.23125,0.00029,0.00053,0.00016,86.11617,11.11984,7.84377
Median,0.89225,0.93622,0.9372,0.93683,0.95039,0.94452,0.9998,0.99935,0.99986,1.41421,2.23607,1.73205
25quantile,0.82142,0.90353,0.88291,0.88354,0.90855,0.88112,0.99964,0.999,0.99975,1.0,1.73205,1.41421
75quantile,0.93159,0.95362,0.95967,0.9624,0.96966,0.96552,0.99992,0.99964,0.99993,2.0,3.74166,3.0
